MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,PavedDrive,PoolQC,Fence,MiscFeature,SaleType
RH,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,NA,None,TA,CBlock,TA,TA,No,Rec,GasA,TA,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,MnPrv,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,NA,None,TA,CBlock,TA,TA,No,Rec,GasA,TA,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,COD
RM,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,NA,None,TA,BrkTil,TA,TA,No,Unf,GasA,TA,Y,SBrkr,Typ,Gd,BuiltIn,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,NA,BrkFace,TA,CBlock,TA,TA,No,BLQ,GasA,TA,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,GdPrv,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,NA,None,TA,CBlock,TA,TA,No,Unf,GasA,TA,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,GdWo,NA,WD 
RM,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,Grvl,None,Fa,CBlock,TA,TA,No,Unf,GasA,TA,Y,FuseA,Typ,NA,NA,NA,NA,N,NA,MnPrv,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,NA,BrkCmn,TA,PConc,TA,TA,No,Unf,GasA,TA,Y,SBrkr,Typ,NA,Attchd,Unf,TA,Y,NA,MnPrv,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gambrel,CompShg,MetalSd,NA,None,TA,BrkTil,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,Gd,Detchd,Unf,TA,Y,NA,MnPrv,NA,WD 
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,Mn,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,NA,None,TA,CBlock,TA,TA,Av,Unf,GasA,Ex,Y,FuseA,Min2,TA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,NoSeWa,CulDSac,Gtl,Timber,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,NA,BrkFace,TA,CBlock,TA,TA,No,GLQ,GasA,Gd,Y,FuseA,Typ,Gd,Basment,RFn,TA,Y,NA,NA,NA,COD
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,NA,None,Fa,BrkTil,TA,TA,Mn,Unf,Grav,Fa,N,FuseF,Typ,NA,NA,NA,NA,N,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,NA,BrkFace,TA,PConc,Gd,TA,No,GLQ,GasA,TA,Y,SBrkr,Typ,TA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RH,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,Gable,CompShg,MetalSd,NA,None,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Fin,TA,Y,NA,NA,NA,COD
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,NA,BrkFace,TA,CBlock,TA,TA,Gd,Rec,GasA,TA,Y,SBrkr,Typ,NA,Attchd,RFn,Gd,Y,NA,GdPrv,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,NA,BrkFace,TA,CBlock,TA,TA,Av,LwQ,GasA,Ex,Y,SBrkr,Typ,Fa,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,NA,BrkFace,TA,CBlock,Gd,TA,Mn,Unf,GasA,TA,Y,SBrkr,Min1,TA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,NA,None,TA,PConc,TA,TA,No,BLQ,GasA,Ex,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Bnk,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,NA,None,TA,CBlock,Gd,TA,Av,GLQ,GasA,TA,Y,SBrkr,Typ,Po,BuiltIn,RFn,TA,Y,NA,MnPrv,NA,WD 
FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,Pave,BrkFace,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,NA,None,TA,CBlock,TA,TA,No,Rec,GasA,TA,Y,SBrkr,Mod,TA,Detchd,Unf,TA,P,NA,NA,NA,COD
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Grvl,None,TA,BrkTil,TA,Gd,No,LwQ,GasA,Ex,Y,SBrkr,Typ,Gd,Detchd,Unf,Fa,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,No,GLQ,GasA,Gd,Y,SBrkr,Typ,TA,Attchd,Fin,TA,Y,NA,MnPrv,NA,WD 
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RM,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,NA,None,Gd,BrkTil,TA,TA,Av,ALQ,GasA,Ex,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,NA,None,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Hip,CompShg,HdBoard,NA,None,TA,CBlock,TA,TA,No,Unf,GasA,TA,N,SBrkr,Typ,NA,NA,NA,NA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,WdShing,NA,BrkCmn,TA,Slab,NA,NA,NA,NA,GasA,TA,N,FuseF,Typ,NA,NA,NA,NA,N,NA,NA,NA,WD 
I (all),Grvl,NA,Reg,Lvl,NoSewr,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,NA,None,Fa,CBlock,NA,NA,NA,NA,GasA,TA,N,FuseA,Min1,NA,Detchd,Unf,TA,N,NA,NA,NA,ConLD
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,NA,Stone,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RM,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,Hip,CompShg,VinylSd,NA,BrkFace,TA,PConc,Ex,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,NA,BrkFace,TA,CBlock,TA,TA,No,Unf,GasA,Gd,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,WD 
FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,Pave,BrkFace,TA,PConc,Gd,TA,No,BLQ,GasA,Ex,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,NA,None,TA,PConc,Gd,TA,Av,GLQ,GasA,TA,Y,SBrkr,Typ,Fa,Detchd,Unf,TA,Y,NA,GdPrv,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,NA,None,TA,CBlock,TA,TA,No,BLQ,GasA,TA,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,GdWo,Shed,WD 
RM,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,Gable,CompShg,Stucco,NA,None,TA,BrkTil,TA,TA,No,Unf,GasA,Gd,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,GdPrv,NA,WD 
FV,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Fin,TA,Y,NA,NA,NA,New
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,NA,None,TA,CBlock,TA,TA,No,Rec,GasA,TA,Y,FuseA,Typ,TA,Attchd,Fin,TA,Y,NA,MnWw,NA,WD 
FV,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,Pave,None,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Fin,TA,Y,NA,NA,NA,New
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,NA,BrkFace,TA,CBlock,Gd,TA,No,ALQ,GasA,TA,Y,SBrkr,Typ,TA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,NA,BrkFace,TA,CBlock,TA,TA,No,BLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Unf,TA,Y,NA,NA,NA,WD 
FV,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,Stone,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,NA,BrkFace,Gd,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,TA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
FV,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,Gable,CompShg,MetalSd,NA,BrkFace,TA,PConc,Ex,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,TA,Attchd,Fin,TA,Y,NA,NA,NA,CWD
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,NA,None,TA,BrkTil,TA,TA,No,ALQ,GasA,Gd,Y,SBrkr,Min1,NA,2Types,Unf,TA,N,NA,MnPrv,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,TA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,Hip,CompShg,MetalSd,NA,BrkFace,TA,CBlock,TA,TA,Mn,BLQ,GasA,TA,Y,SBrkr,Typ,Gd,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,NA,None,TA,CBlock,TA,TA,No,BLQ,GasA,Gd,Y,SBrkr,Min1,TA,Detchd,Unf,TA,Y,NA,MnPrv,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,NA,BrkFace,TA,CBlock,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,TA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,NA,BrkFace,TA,CBlock,TA,TA,No,BLQ,GasA,Ex,Y,SBrkr,Typ,TA,Attchd,RFn,TA,Y,NA,MnPrv,NA,CWD
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,NA,BrkFace,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,Ex,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,Stone,NA,None,TA,PConc,TA,TA,No,ALQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Ex,Gd,No,Unf,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,RFn,TA,Y,NA,NA,NA,New
C (all),Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,NA,None,TA,CBlock,TA,TA,No,GLQ,GasA,Gd,Y,FuseA,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,MetalSd,NA,BrkFace,TA,CBlock,TA,TA,No,Unf,GasA,TA,Y,SBrkr,Typ,TA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
C (all),Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,NA,None,Fa,BrkTil,TA,Fa,No,Unf,GasA,Fa,N,FuseP,Typ,NA,NA,NA,NA,N,NA,NA,NA,ConLD
RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,BrkFace,Gd,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,2Types,RFn,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,Gable,CompShg,Plywood,NA,BrkFace,TA,CBlock,TA,Ex,Av,ALQ,GasA,TA,Y,SBrkr,Typ,Fa,Detchd,Unf,TA,Y,NA,MnPrv,NA,WD 
FV,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,NA,New
RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,NA,None,TA,Slab,NA,NA,NA,NA,GasA,TA,Y,SBrkr,Typ,Gd,Attchd,Unf,TA,Y,NA,NA,NA,WD 
FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,Pave,None,TA,PConc,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,Gable,CompShg,BrkFace,NA,None,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RM,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,MetalSd,NA,None,TA,BrkTil,TA,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Detchd,Unf,Fa,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,NA,BrkFace,TA,PConc,Ex,TA,Gd,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,NA,Stone,TA,PConc,Ex,TA,Gd,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,NA,Stone,TA,PConc,Ex,TA,Gd,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,NA,Stone,TA,PConc,Ex,TA,Gd,GLQ,GasA,Ex,Y,SBrkr,Typ,Ex,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,NA,None,Gd,CBlock,Fa,TA,Mn,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
FV,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Fin,TA,Y,NA,NA,NA,New
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,Mn,Unf,GasA,Ex,Y,SBrkr,Typ,TA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,Av,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,NA,BrkFace,TA,CBlock,TA,TA,No,Rec,GasA,Ex,Y,FuseA,Typ,TA,Attchd,RFn,TA,Y,NA,NA,NA,WD 
RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,NA,None,TA,CBlock,TA,TA,No,BLQ,GasA,TA,Y,FuseA,Typ,NA,Attchd,Unf,TA,Y,NA,MnPrv,NA,WD 
FV,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,None,TA,PConc,Gd,TA,No,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,RFn,TA,Y,NA,GdWo,NA,WD 
RL,Pave,NA,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,NA,BrkFace,TA,PConc,Gd,TA,Av,GLQ,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,RFn,TA,Y,NA,NA,Shed,WD 
RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,NA,BrkFace,Gd,CBlock,Gd,TA,No,GLQ,GasA,TA,Y,SBrkr,Typ,Fa,Attchd,Fin,TA,Y,NA,NA,NA,WD 
RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1Story,Gable,CompShg,MetalSd,NA,None,TA,CBlock,TA,TA,No,ALQ,GasW,TA,N,SBrkr,Typ,NA,Detchd,Unf,TA,Y,NA,NA,NA,ConLD
RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,Gable,CompShg,Plywood,NA,None,TA,CBlock,Gd,TA,No,Unf,GasA,Ex,Y,SBrkr,Typ,NA,Attchd,Unf,TA,Y,NA,NA,NA,WD 
A (agr),Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Artery,Norm,1Fam,1Story,Gable,CompShg,CBlock,NA,None,Fa,CBlock,NA,NA,NA,NA,GasA,TA,Y,FuseA,Mod,NA,Attchd,Unf,Fa,N,NA,NA,NA,WD 
RL,Grvl,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,Gable,CompShg,HdBoard,NA,BrkFace,Gd,CBlock,Gd,TA,Av,GLQ,GasA,TA,Y,SBrkr,Typ,NA,NA,NA,NA,Y,NA,NA,NA,WD 
FV,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,NA,Stone,TA,PConc,Ex,TA,Mn,GLQ,GasA,Ex,Y,SBrkr,Typ,Gd,Attchd,Fin,TA,Y,NA,NA,NA,New
RH,Pave,NA,Reg,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,Gable,CompShg,MetalSd,NA,None,TA,CBlock,TA,TA,No,BLQ,GasA,TA,N,FuseA,Typ,NA,2Types,Unf,TA,Y,NA,NA,NA,WD 
